"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"170","Kedah","All","property","theft_vehicle_lorry","2017-01-01",81,2143.9,86155.209,6.00356353445946,100.495333581081
"171","Kedah","All","property","theft_vehicle_lorry","2018-01-01",56,2163,89625.43,6.00356353445946,100.495333581081
"172","Kedah","All","property","theft_vehicle_lorry","2019-01-01",78,2173.7,93696.564,6.00356353445946,100.495333581081
"173","Kedah","All","property","theft_vehicle_lorry","2020-01-01",46,2131.4,92080.99,6.00356353445946,100.495333581081
"174","Kedah","All","property","theft_vehicle_lorry","2021-01-01",24,2151.7,95038.721,6.00356353445946,100.495333581081
"175","Kedah","All","property","theft_vehicle_lorry","2022-01-01",30,2163.1,102024.695,6.00356353445946,100.495333581081
"176","Kedah","All","property","theft_vehicle_lorry","2023-01-01",40,2189.3,103588.044,6.00356353445946,100.495333581081
"177","Kedah","All","property","theft_vehicle_motorcar","2016-01-01",497,2119.7,82363.669,6.00356353445946,100.495333581081
"178","Kedah","All","property","theft_vehicle_motorcar","2017-01-01",378,2143.9,86155.209,6.00356353445946,100.495333581081
"179","Kedah","All","property","theft_vehicle_motorcar","2018-01-01",366,2163,89625.43,6.00356353445946,100.495333581081
"180","Kedah","All","property","theft_vehicle_motorcar","2019-01-01",314,2173.7,93696.564,6.00356353445946,100.495333581081
"181","Kedah","All","property","theft_vehicle_motorcar","2020-01-01",235,2131.4,92080.99,6.00356353445946,100.495333581081
"182","Kedah","All","property","theft_vehicle_motorcar","2021-01-01",140,2151.7,95038.721,6.00356353445946,100.495333581081
"183","Kedah","All","property","theft_vehicle_motorcar","2022-01-01",172,2163.1,102024.695,6.00356353445946,100.495333581081
"184","Kedah","All","property","theft_vehicle_motorcar","2023-01-01",198,2189.3,103588.044,6.00356353445946,100.495333581081
"185","Kedah","All","property","theft_vehicle_motorcycle","2016-01-01",3125,2119.7,82363.669,6.00356353445946,100.495333581081
"186","Kedah","All","property","theft_vehicle_motorcycle","2017-01-01",2846,2143.9,86155.209,6.00356353445946,100.495333581081
"187","Kedah","All","property","theft_vehicle_motorcycle","2018-01-01",2579,2163,89625.43,6.00356353445946,100.495333581081
"188","Kedah","All","property","theft_vehicle_motorcycle","2019-01-01",2192,2173.7,93696.564,6.00356353445946,100.495333581081
"189","Kedah","All","property","theft_vehicle_motorcycle","2020-01-01",1399,2131.4,92080.99,6.00356353445946,100.495333581081
"190","Kedah","All","property","theft_vehicle_motorcycle","2021-01-01",1083,2151.7,95038.721,6.00356353445946,100.495333581081
"191","Kedah","All","property","theft_vehicle_motorcycle","2022-01-01",1066,2163.1,102024.695,6.00356353445946,100.495333581081
"192","Kedah","All","property","theft_vehicle_motorcycle","2023-01-01",961,2189.3,103588.044,6.00356353445946,100.495333581081
"193","Kelantan","All","assault","causing_injury","2016-01-01",291,1796.7,44991.308,5.68010695454545,102.113649920455
"194","Kelantan","All","assault","causing_injury","2017-01-01",252,1829,47037.852,5.68010695454545,102.113649920455
"195","Kelantan","All","assault","causing_injury","2018-01-01",190,1860.5,48273.12,5.68010695454545,102.113649920455
"196","Kelantan","All","assault","causing_injury","2019-01-01",178,1883.8,51026.369,5.68010695454545,102.113649920455
"197","Kelantan","All","assault","causing_injury","2020-01-01",211,1792.5,50333.378,5.68010695454545,102.113649920455
"198","Kelantan","All","assault","causing_injury","2021-01-01",201,1812.3,51616.054,5.68010695454545,102.113649920455
"199","Kelantan","All","assault","causing_injury","2022-01-01",215,1830.6,53947.423,5.68010695454545,102.113649920455
"200","Kelantan","All","assault","causing_injury","2023-01-01",147,1859.8,55295.741,5.68010695454545,102.113649920455
"201","Kelantan","All","assault","murder","2016-01-01",10,1796.7,44991.308,5.68010695454545,102.113649920455
"202","Kelantan","All","assault","murder","2017-01-01",13,1829,47037.852,5.68010695454545,102.113649920455
"203","Kelantan","All","assault","murder","2018-01-01",6,1860.5,48273.12,5.68010695454545,102.113649920455
"204","Kelantan","All","assault","murder","2019-01-01",9,1883.8,51026.369,5.68010695454545,102.113649920455
"205","Kelantan","All","assault","murder","2020-01-01",13,1792.5,50333.378,5.68010695454545,102.113649920455
"206","Kelantan","All","assault","murder","2021-01-01",8,1812.3,51616.054,5.68010695454545,102.113649920455
"207","Kelantan","All","assault","murder","2022-01-01",6,1830.6,53947.423,5.68010695454545,102.113649920455
"208","Kelantan","All","assault","murder","2023-01-01",9,1859.8,55295.741,5.68010695454545,102.113649920455
"209","Kelantan","All","assault","rape","2016-01-01",144,1796.7,44991.308,5.68010695454545,102.113649920455
"210","Kelantan","All","assault","rape","2017-01-01",114,1829,47037.852,5.68010695454545,102.113649920455
"211","Kelantan","All","assault","rape","2018-01-01",101,1860.5,48273.12,5.68010695454545,102.113649920455
"212","Kelantan","All","assault","rape","2019-01-01",73,1883.8,51026.369,5.68010695454545,102.113649920455
"213","Kelantan","All","assault","rape","2020-01-01",108,1792.5,50333.378,5.68010695454545,102.113649920455
"214","Kelantan","All","assault","rape","2021-01-01",107,1812.3,51616.054,5.68010695454545,102.113649920455
"215","Kelantan","All","assault","rape","2022-01-01",98,1830.6,53947.423,5.68010695454545,102.113649920455
"216","Kelantan","All","assault","rape","2023-01-01",130,1859.8,55295.741,5.68010695454545,102.113649920455
"217","Kelantan","All","assault","robbery_gang_armed","2016-01-01",1,1796.7,44991.308,5.68010695454545,102.113649920455
"218","Kelantan","All","assault","robbery_gang_armed","2017-01-01",2,1829,47037.852,5.68010695454545,102.113649920455
"219","Kelantan","All","assault","robbery_gang_armed","2018-01-01",4,1860.5,48273.12,5.68010695454545,102.113649920455
"220","Kelantan","All","assault","robbery_gang_armed","2019-01-01",2,1883.8,51026.369,5.68010695454545,102.113649920455
"221","Kelantan","All","assault","robbery_gang_armed","2020-01-01",0,1792.5,50333.378,5.68010695454545,102.113649920455
"222","Kelantan","All","assault","robbery_gang_armed","2021-01-01",2,1812.3,51616.054,5.68010695454545,102.113649920455
"223","Kelantan","All","assault","robbery_gang_armed","2022-01-01",1,1830.6,53947.423,5.68010695454545,102.113649920455
"224","Kelantan","All","assault","robbery_gang_armed","2023-01-01",5,1859.8,55295.741,5.68010695454545,102.113649920455
"225","Kelantan","All","assault","robbery_gang_unarmed","2016-01-01",71,1796.7,44991.308,5.68010695454545,102.113649920455
"226","Kelantan","All","assault","robbery_gang_unarmed","2017-01-01",141,1829,47037.852,5.68010695454545,102.113649920455
"227","Kelantan","All","assault","robbery_gang_unarmed","2018-01-01",139,1860.5,48273.12,5.68010695454545,102.113649920455
"228","Kelantan","All","assault","robbery_gang_unarmed","2019-01-01",121,1883.8,51026.369,5.68010695454545,102.113649920455
"229","Kelantan","All","assault","robbery_gang_unarmed","2020-01-01",81,1792.5,50333.378,5.68010695454545,102.113649920455
"230","Kelantan","All","assault","robbery_gang_unarmed","2021-01-01",66,1812.3,51616.054,5.68010695454545,102.113649920455
"231","Kelantan","All","assault","robbery_gang_unarmed","2022-01-01",66,1830.6,53947.423,5.68010695454545,102.113649920455
"232","Kelantan","All","assault","robbery_gang_unarmed","2023-01-01",43,1859.8,55295.741,5.68010695454545,102.113649920455
"233","Kelantan","All","assault","robbery_solo_armed","2016-01-01",1,1796.7,44991.308,5.68010695454545,102.113649920455
"234","Kelantan","All","assault","robbery_solo_armed","2017-01-01",0,1829,47037.852,5.68010695454545,102.113649920455
"235","Kelantan","All","assault","robbery_solo_armed","2018-01-01",0,1860.5,48273.12,5.68010695454545,102.113649920455
"236","Kelantan","All","assault","robbery_solo_armed","2019-01-01",0,1883.8,51026.369,5.68010695454545,102.113649920455
"237","Kelantan","All","assault","robbery_solo_armed","2020-01-01",0,1792.5,50333.378,5.68010695454545,102.113649920455
"238","Kelantan","All","assault","robbery_solo_armed","2021-01-01",0,1812.3,51616.054,5.68010695454545,102.113649920455
"239","Kelantan","All","assault","robbery_solo_armed","2022-01-01",0,1830.6,53947.423,5.68010695454545,102.113649920455
"240","Kelantan","All","assault","robbery_solo_armed","2023-01-01",0,1859.8,55295.741,5.68010695454545,102.113649920455
"241","Kelantan","All","assault","robbery_solo_unarmed","2016-01-01",25,1796.7,44991.308,5.68010695454545,102.113649920455
"242","Kelantan","All","assault","robbery_solo_unarmed","2017-01-01",78,1829,47037.852,5.68010695454545,102.113649920455
"243","Kelantan","All","assault","robbery_solo_unarmed","2018-01-01",71,1860.5,48273.12,5.68010695454545,102.113649920455
"244","Kelantan","All","assault","robbery_solo_unarmed","2019-01-01",87,1883.8,51026.369,5.68010695454545,102.113649920455
"245","Kelantan","All","assault","robbery_solo_unarmed","2020-01-01",91,1792.5,50333.378,5.68010695454545,102.113649920455
"246","Kelantan","All","assault","robbery_solo_unarmed","2021-01-01",42,1812.3,51616.054,5.68010695454545,102.113649920455
"247","Kelantan","All","assault","robbery_solo_unarmed","2022-01-01",62,1830.6,53947.423,5.68010695454545,102.113649920455
"248","Kelantan","All","assault","robbery_solo_unarmed","2023-01-01",56,1859.8,55295.741,5.68010695454545,102.113649920455
"249","Kelantan","All","property","break_in","2016-01-01",682,1796.7,44991.308,5.68010695454545,102.113649920455
"250","Kelantan","All","property","break_in","2017-01-01",570,1829,47037.852,5.68010695454545,102.113649920455
"251","Kelantan","All","property","break_in","2018-01-01",699,1860.5,48273.12,5.68010695454545,102.113649920455
